customer_id,date,age,occupation,monthly_income,monthly_credit,monthly_debit,starting_balance,ending_balance,monthly_invest_gain,monthly_invest_return_pct,initial_credit_score,final_credit_score,transaction_category_major,customer_feedback
CUST00014,2025-01-31,51,Manager,2811.07,3248.8,4886.73,11129.43,9491.5,437.73,3.14,690,700,education,Education spending was high; will monitor next month.
CUST00015,2025-01-31,34,Finance,3663.77,4376.77,7303.45,14608.7,11682.02,0.0,-0.61,661,666,shopping,Shopping took a chunk; good thing savings were there.
CUST00016,2025-01-31,37,Manager,4379.44,5045.62,3378.46,5109.67,6776.83,52.53,0.52,739,729,shopping,"Smart shopping and steady savings, feeling good."
CUST00017,2025-01-31,50,Manager,2694.75,3632.64,3835.6,3672.29,3469.33,0.0,-2.11,657,667,dining,Dining was a bit over budget; need tighter control.
CUST00018,2025-01-31,37,Finance,6085.53,,,1888.45,3776.9,0.0,-1.6,705,695,shopping,"Shopping was okay, but end balance isn't very high."
CUST00019,2025-01-31,47,Technician,1216.01,1814.12,2272.73,3176.15,2717.54,110.76,2.27,722,732,education,"Education costs were higher, impacted monthly cash flow."
CUST00020,2025-01-31,46,Technician,5980.71,7748.87,5026.09,14162.23,16885.01,0.0,-0.53,697,707,dining,"Enjoyed dining experiences, still achieved great savings."
CUST00021,2025-01-31,36,Student,6495.48,8196.25,3628.92,17371.65,21938.99,833.55,3.37,638,633,education,"Education expenses met, excellent financial position overall."
CUST00022,2025-01-31,26,Finance,924.31,1243.3,1083.75,1140.33,1299.88,20.09,0.85,745,735,transport,"Transport costs minimal, but aiming for higher savings."
CUST00023,2025-01-31,45,Finance,8577.36,9518.93,8448.62,15233.93,16304.24,482.97,1.99,673,668,education,"Education expenses are significant, but manageable with income."
CUST00024,2025-01-31,29,Teacher,2239.08,2411.79,1074.15,1496.89,2834.53,28.71,0.74,728,738,healthcare,"Healthcare minimal, but could still build more savings."
CUST00025,2025-01-31,55,Finance,5346.36,6564.18,2263.43,4282.87,8583.62,0.0,-0.22,669,664,education,"Education spending in line, strong financial health this month."
CUST00026,2025-01-31,33,Manager,3657.5,4240.34,2407.78,12135.89,13968.45,332.11,2.07,634,639,healthcare,"Healthcare good; impressive savings growth, very pleased."
CUST00027,2025-01-31,41,Self-employed,1737.95,1927.78,3131.32,2909.9,1706.36,43.15,0.9,692,697,shopping,Shopping was excessive; must prioritize needs next month.
CUST00028,2025-01-31,33,Retail,2975.34,3973.41,3039.94,1514.94,2448.41,103.39,1.92,639,644,entertainment,"Enjoyed entertainment, but need to boost emergency fund."
CUST00029,2025-01-31,43,Engineer,3482.19,3577.19,7114.52,4039.59,502.26,0.0,-0.82,723,718,transport,Transport costs and other expenses drained my account.
CUST00030,2025-01-31,62,Retail,5718.62,6971.59,4264.19,6346.78,9054.18,92.58,0.7,766,756,transport,Transport was fine; financial situation looks stable.
CUST00031,2025-01-31,29,Student,4537.32,5156.92,7551.41,6867.15,4472.65,246.16,2.09,679,689,shopping,Shopping was heavy; definitely need to cut back.
CUST00032,2025-01-31,45,Retail,1940.73,2383.65,2813.5,980.28,550.43,43.83,1.32,672,667,healthcare,Healthcare costs and low income left minimal funds.
CUST00033,2025-01-31,43,Teacher,3216.7,4729.63,2541.68,2463.29,4651.24,25.8,0.36,711,721,groceries,"Groceries were reasonable, finances are on track."
CUST00034,2025-01-31,36,Self-employed,6055.41,6231.99,6032.33,7594.35,7794.01,155.84,1.14,737,747,shopping,Shopping was okay; steady progress on financial goals.
CUST00035,2025-01-31,27,Self-employed,6116.97,7021.43,12485.23,3954.37,-1509.43,105.44,0.97,658,648,utilities,Critical: utilities and overspending caused a negative balance.
CUST00036,2025-01-31,55,Finance,4359.44,7750.06,13107.64,10704.38,5346.8,58.87,0.32,656,646,entertainment,"Entertainment costs very high, significantly impacted balance."
CUST00037,2025-01-31,24,Finance,5209.03,5699.6,2382.48,7757.08,11074.21,149.05,1.12,656,651,shopping,"Shopping was controlled, excellent month for savings."
CUST00038,2025-01-31,60,Engineer,8868.82,8877.81,11447.1,21233.52,18664.24,0.0,-0.21,748,753,shopping,"Shopping high, but previous savings absorb the impact."
CUST00039,2025-01-31,39,Healthcare,4909.59,5512.27,3692.53,5570.56,7390.3,257.64,2.38,689,684,education,
CUST00040,2025-01-31,23,Unemployed,4748.96,7150.13,2980.34,9902.44,14072.24,614.77,3.74,699,689,education,Education expenses met; strong savings continue this month.
CUST00041,2025-01-31,33,Technician,4478.81,5831.06,4836.93,17428.13,18422.26,314.34,1.37,704,709,healthcare,Healthcare costs normal; overall finances are thriving.
CUST00042,2025-01-31,18,Teacher,3166.59,3888.64,3273.04,9908.28,10523.87,135.25,0.99,753,763,entertainment,Entertainment was fine; consistent savings growth.
CUST00043,2025-01-31,37,Finance,2764.78,2929.77,2336.48,5653.06,6246.35,164.99,1.96,744,754,healthcare,"Healthcare costs low, maintaining healthy savings."
CUST00044,2025-01-31,47,Unemployed,5056.79,5435.56,12605.6,10363.2,3193.16,254.92,1.64,713,718,shopping,Major shopping expenses; need to regain financial control.
CUST00045,2025-01-31,27,Manager,6963.33,8055.31,4041.69,25977.81,29991.42,270.1,0.8,778,783,groceries,"Groceries managed; phenomenal savings, very well done!"
CUST00046,2025-01-31,23,Finance,1400.21,1715.99,3067.63,2364.85,1013.2,103.41,2.6,722,727,healthcare,Healthcare and other costs left very little money.
CUST00047,2025-01-31,44,Finance,4936.63,5946.68,16739.8,4445.26,-6347.86,0.0,-0.01,645,640,healthcare,"Serious overspending, especially on healthcare. Immediate action needed."
CUST00048,2025-01-31,31,Manager,3125.48,3333.65,4831.64,4694.01,3196.02,66.08,0.83,696,691,utilities,Utilities were high; must monitor spending carefully.
CUST00049,2025-01-31,35,Self-employed,7775.38,9735.37,18380.08,8361.95,-282.76,0.0,-1.06,704,694,entertainment,"Entertainment spending excessive, resulted in an overdrawn account."
CUST00050,2025-01-31,33,Manager,3473.49,4820.89,2755.5,4393.22,6458.61,217.71,2.42,655,660,education,"Education costs covered, good financial health overall."
CUST00051,2025-01-31,32,Retail,5310.08,5443.97,9308.1,5941.21,2077.08,7.96,0.07,580,570,education,
CUST00052,2025-01-31,48,Self-employed,3889.11,4580.22,9369.53,5724.57,935.26,174.25,1.72,617,627,healthcare,Focus on reducing healthcare costs to boost your savings.
CUST00053,2025-01-31,55,Manager,4676.05,5208.23,2879.43,6550.37,8879.17,0.0,-0.33,763,758,education,Keep up the good work; perhaps increase education savings.
CUST00054,2025-01-31,39,Healthcare,2555.86,2584.09,1993.34,1158.09,1748.84,28.23,0.76,695,705,transport,Review transport spending; slight increase in savings is possible.
CUST00055,2025-01-31,41,Student,2820.87,2820.87,2266.31,10120.53,10675.09,0.0,-0.94,665,670,dining,You have a great balance! Consider exploring new investment options.
CUST00056,2025-01-31,53,Manager,2542.96,3486.95,24844.181443449703,4659.04,6019.26,70.26,0.87,662,667,education,Your education spending is well managed; keep it up!
CUST00057,2025-01-31,18,Unemployed,1897.38,2159.48,26499.193138097588,4736.25,5332.3,0.0,-0.69,674,664,transport,Consistent savings! Maybe explore ways to optimize transport costs.
CUST00058,2025-01-31,26,Retail,1939.39,2532.55,2772.45,2180.98,1941.08,64.62,1.39,768,773,education,Monitor education expenses to prevent overspending next month.
CUST00059,2025-01-31,27,Manager,4058.21,6098.1,5205.21,5926.44,6819.32,143.76,1.21,673,663,education,Solid financial month. Perhaps allocate more to your education fund.
CUST00060,2025-01-31,48,Self-employed,9768.46,10908.66,6259.19,12721.27,17370.74,436.05,1.88,721,731,dining,"Excellent month! Enjoy dining, but consider boosting long-term savings."
CUST00061,2025-01-31,38,Retail,4424.19,,,5451.49,6290.18,0.0,-1.12,610,620,healthcare,Good control over healthcare. Review spending for potential extra savings.
CUST00062,2025-01-31,18,Healthcare,5027.1,5653.66,2770.5,4725.88,7609.05,0.0,-0.09,686,696,dining,
CUST00063,2025-01-31,29,Retail,500.0,554.17,1181.13,1831.16,1204.19,42.64,1.82,629,624,healthcare,Try to cut back on healthcare costs to improve your balance.
CUST00064,2025-01-31,45,Technician,5221.8,6580.79,6523.22,16657.01,16714.57,0.0,-0.16,604,599,education,Outstanding balance! Review education investments for potential growth.
CUST00065,2025-01-31,27,Engineer,4412.72,5819.07,5670.71,10903.39,11051.75,86.51,0.52,728,733,shopping,
CUST00066,2025-01-31,47,Self-employed,752.93,962.09,2242.24,1318.2,38.05,8.41,0.37,694,684,healthcare,Urgent: address healthcare spending to avoid overdraft next month.
CUST00067,2025-01-31,20,Engineer,5209.18,5699.37,9114.98,6469.74,3054.12,118.1,0.98,640,635,shopping,Consider reducing shopping expenditures to build a stronger balance.
CUST00068,2025-01-31,46,Self-employed,858.14,,,2137.95,2159.17,109.99,3.42,735,730,shopping,Small positive flow. Track shopping for more savings opportunities.
CUST00069,2025-01-31,26,Self-employed,,7959.95,6766.92,2900.58,4093.61,72.28,0.67,679,684,education,Positive cash flow! Look for ways to maximize education savings.
CUST00070,2025-01-31,23,Teacher,500.0,,,1702.18,1163.98,0.0,-0.46,593,603,education,Re-evaluate education spending and consider reducing other expenses.
CUST00071,2025-01-31,37,Teacher,6357.9,6558.03,6125.15,9590.33,10023.21,67.54,0.42,690,695,shopping,Healthy balance. Smart shopping could further boost your savings.
CUST00072,2025-01-31,39,Finance,6551.95,8002.71,7723.33,24435.7,24715.08,145.32,0.45,596,606,education,Excellent financial health! Consider diversifying your education investment portfolio.
CUST00073,2025-01-31,50,Retail,1541.63,2124.8,1919.26,6379.93,6585.46,69.17,0.82,752,747,healthcare,Manage healthcare costs well. Keep up this steady savings pace.
CUST00074,2025-01-31,22,Student,,5043.56,8999.04,13179.47,9223.99,54.51,0.3,622,612,education,Watch education spending; ensure it aligns with your goals.
CUST00075,2025-01-31,22,Healthcare,5918.88,10502.09,4888.01,9746.78,15360.87,453.32,2.29,660,650,education,Fantastic financial performance! Maximize education savings or explore other investments.
CUST00076,2025-01-31,18,Healthcare,3186.17,3568.48,3349.19,5009.77,5229.06,106.74,1.26,746,736,shopping,Good spending control. Continue to find deals in shopping for savings.
CUST00077,2025-01-31,30,Finance,4151.39,5740.4,3370.38,717.02,3087.03,40.43,0.63,714,704,education,Strong credit influx! Keep an eye on education expenses for stability.
CUST00078,2025-01-31,41,Teacher,4993.16,7525.81,3553.29,1416.7,5389.21,87.66,0.99,594,584,utilities,Excellent cash flow. Consider ways to optimize your utility bills.
CUST00079,2025-01-31,45,Teacher,3860.49,4611.21,8155.53,7048.82,3504.5,75.3,0.65,706,211,dining,Reduce dining out to improve your overall financial health.
CUST00080,2025-01-31,52,Student,6724.8,8566.76,17204.9,24373.72,15735.58,264.67,0.81,692,702,shopping,Significant shopping spend. Prioritize needs to maintain strong balance.
CUST00081,2025-01-31,27,Technician,4092.16,4675.16,3108.92,8658.58,10224.82,494.32,3.85,655,665,entertainment,Great month! Explore investment options or build an entertainment fund.
CUST00082,2025-01-31,27,Teacher,2248.98,2720.06,2875.78,456.32,300.6,11.71,0.37,711,706,groceries,Cut back on groceries and other spending to avoid overdraft.
CUST00083,2025-01-31,36,Student,5020.55,,,9236.15,7657.02,242.67,1.59,695,685,dining,Monitor dining expenses closely to prevent future balance drops.
CUST00084,2025-01-31,45,Retail,2396.85,3031.95,4412.53,2667.04,1286.46,59.78,1.06,726,721,shopping,Drastically reduce shopping to build up your depleted balance.
CUST00085,2025-01-31,45,Technician,5479.35,6119.47,6007.98,11156.86,11268.35,22.43,0.13,710,705,groceries,Healthy balance. Smart grocery shopping could further boost your savings.
CUST00086,2025-01-31,46,Teacher,5313.82,7343.13,8452.03,10435.51,9326.61,90.21,0.51,689,684,groceries,Keep an eye on grocery spending to maintain your healthy balance.
CUST00087,2025-01-31,30,Manager,2431.01,3358.34,2380.02,1684.95,2663.28,90.63,1.83,769,774,healthcare,Good credit flow! Focus on healthcare budget to increase savings.
CUST00088,2025-01-31,36,Retail,4028.9,4034.51,5113.12,1576.46,497.85,5.61,0.1,712,717,healthcare,Urgent: review healthcare costs to avoid running out of funds.
CUST00089,2025-01-31,37,Healthcare,4165.97,6473.1,5075.48,14401.84,15799.45,0.0,-0.17,636,641,healthcare,Excellent balance! Consider future healthcare investments for long-term security.
CUST00090,2025-01-31,51,Self-employed,2903.82,2982.04,2178.72,4918.37,5721.69,78.22,1.0,665,675,utilities,Good month! Look into energy-saving options to lower utility bills.
CUST00091,2025-01-31,18,Engineer,4547.06,5580.85,5403.92,4503.44,4680.36,0.0,-0.73,722,717,dining,"Fine month, but review dining expenses for potential savings."
CUST00092,2025-01-31,35,Self-employed,5503.04,5933.88,12041.64,4752.38,-1355.39,342.38,3.31,629,1034,education,Critical: Drastically cut education and other spending to recover balance.
CUST00093,2025-01-31,55,Teacher,4322.6,6338.07,5815.31,2549.0,3071.76,79.27,0.9,712,722,shopping,Good inflow. Carefully manage shopping to boost your overall balance.
CUST00094,2025-01-31,33,Healthcare,5552.03,7516.66,3584.3,16172.32,20104.68,327.07,1.4,686,681,transport,Outstanding financial health! Consider investing or saving more for future transport.
CUST00095,2025-01-31,41,Retail,7926.17,9415.74,9733.22,7433.36,7115.88,163.52,0.98,644,649,shopping,Monitor shopping closely to maintain your current healthy balance.
CUST00096,2025-01-31,33,Retail,4958.81,5767.51,6393.35,18959.02,18333.18,93.61,0.38,721,726,education,Excellent balance! Be mindful of education expenses to sustain growth.
CUST00097,2025-01-31,38,Self-employed,2163.96,2364.25,4164.63,2339.37,538.99,85.44,1.85,687,697,transport,Urgent: reduce transport costs to avoid depleting your funds.
CUST00098,2025-01-31,38,Manager,3579.82,4598.85,3508.03,5003.34,6094.16,174.41,1.85,740,735,entertainment,"Positive month! Enjoy entertainment, but prioritize increasing your savings."
CUST00099,2025-01-31,22,Engineer,3054.29,3604.58,7779.93,5650.19,1474.84,0.0,-1.06,686,696,shopping,Seriously reduce shopping expenditure to avoid further balance decrease.
CUST00100,2025-01-31,39,Teacher,5018.28,5477.14,6427.7,4896.03,3945.48,128.06,1.25,641,631,groceries,
CUST00101,2025-01-31,49,Engineer,2203.95,2767.29,2951.31,373.28,189.26,7.83,0.25,641,651,utilities,Monitor utility spending; aim to increase your end balance.
CUST00102,2025-01-31,37,Manager,3605.37,3779.01,2504.98,4920.26,6194.29,34.66,0.4,506,516,utilities,Solid financial performance! Keep managing utilities effectively.
CUST00103,2025-01-31,18,Student,1820.31,2547.15,1494.4,6116.12,7168.87,90.87,1.06,615,620,education,
CUST00104,2025-01-31,18,Engineer,3810.97,3972.63,3581.64,3374.12,3765.11,161.66,2.25,724,729,education,Good balance growth. Ensure education costs remain sustainable.
CUST00105,2025-01-31,54,Teacher,,3923.92,4454.71,7036.13,6505.34,0.0,-0.6,667,657,healthcare,Healthcare debits were high; monitor this for next month.
CUST00106,2025-01-31,35,Retail,1937.22,3375.6,2318.07,2735.14,3792.67,59.9,0.99,724,719,shopping,Good balance. Consider reviewing shopping habits for more savings.
CUST00107,2025-01-31,40,Retail,3384.89,4924.56,3788.75,8931.48,10067.29,500.82,3.75,640,635,transfer,Impressive balance growth! Consider setting new savings goals.
CUST00108,2025-01-31,33,Finance,1422.95,1628.86,1017.99,4201.44,4812.31,68.56,1.19,653,648,dining,Steady finances. Enjoy your dining experiences responsibly.
CUST00109,2025-01-31,72,Healthcare,4194.31,6107.88,148981.88445679165,15054.47,15171.87,226.11,1.08,735,740,entertainment,Strong financial position! Continue to enjoy entertainment wisely.
CUST00110,2025-01-31,53,Technician,4590.78,4604.39,9738.91,6752.55,1618.03,13.61,0.12,760,770,healthcare,Healthcare costs significantly impacted your balance. Review spending.
CUST00111,2025-01-31,61,Retail,4399.01,4662.31,1792.81,8298.92,11168.41,0.0,-0.43,615,605,shopping,Excellent balance. Smart shopping habits are paying off!
CUST00112,2025-01-31,34,Technician,5327.4,7673.94,5061.25,11088.51,13701.19,251.75,1.36,729,724,healthcare,Healthy balance! Maintain good control over healthcare expenses.
CUST00113,2025-01-31,42,Retail,5453.59,5880.43,4236.44,16899.28,18543.27,254.53,1.13,667,672,healthcare,"Outstanding balance! Continue your smart spending, especially on healthcare."
CUST00114,2025-01-31,36,Unemployed,4773.11,5558.96,7779.17,15852.73,13632.52,0.0,-0.23,635,630,education,High debits; check if education costs can be optimized.
CUST00115,2025-01-31,50,Engineer,3315.71,4240.69,6337.85,2782.18,685.03,93.55,1.35,706,711,shopping,Very low balance. Reconsider shopping expenses for next month.
CUST00116,2025-01-31,56,Manager,1557.26,1775.18,3694.06,5989.13,4070.25,123.02,1.61,766,756,entertainment,Entertainment spending was significant. Prioritize saving over spending.
CUST00117,2025-01-31,31,Engineer,500.0,610.75,866.88,377.19,121.07,1.97,0.2,639,634,entertainment,Balance is very low. Reduce entertainment costs drastically.
CUST00118,2025-01-31,34,Healthcare,2670.52,2670.52,5628.76,2576.67,-381.57,0.0,-0.39,594,604,shopping,Negative balance! Immediately cut shopping to prevent further debt.
CUST00119,2025-01-31,18,Finance,4023.85,4342.15,1498.79,2701.99,5545.35,110.93,1.6,734,724,shopping,Healthy balance. Smart choices on shopping are beneficial.
CUST00120,2025-01-31,39,Finance,6243.35,6573.36,2469.51,4309.48,8413.32,319.03,3.02,630,620,shopping,Great balance. Your shopping habits are financially sound.
CUST00121,2025-01-31,41,Manager,656.48,997.02,1250.79,-66.84,-320.61,13.02,1.42,815,805,dining,Your balance is negative. Reduce dining expenses immediately.
CUST00122,2025-01-31,56,Manager,3170.57,3898.66,2210.75,9556.92,11244.83,306.38,2.33,692,702,education,Excellent savings! Education investments are paying off long-term.
CUST00123,2025-01-31,41,Retail,500.0,561.05,2239.22,948.71,-729.47,39.55,2.69,628,1038,dining,Significant overdraft. Drastically cut dining expenses immediately.
CUST00124,2025-01-31,32,Self-employed,1975.16,2044.14,1895.01,6541.06,6690.19,68.98,0.81,691,696,healthcare,Good balance. Keep monitoring healthcare expenses carefully.
CUST00125,2025-01-31,41,Self-employed,,600.52,973.1,471.91,99.33,31.94,3.07,676,671,entertainment,Balance is very low. Limit entertainment spending next month.
CUST00126,2025-01-31,18,Finance,2334.96,2917.52,5097.8,8143.06,5962.77,334.65,3.12,664,674,healthcare,Healthcare debits were substantial. Review for potential savings.
CUST00127,2025-01-31,18,Retail,2178.71,2419.91,1778.38,4494.34,5135.87,24.12,0.35,796,801,transport,Good balance growth. Keep transport costs efficient.
CUST00128,2025-01-31,31,Manager,5884.15,,,10414.91,-929.98,242.87,1.39,677,667,education,Overdraft due to high education costs. Seek financial advice.
CUST00129,2025-01-31,37,Healthcare,5470.26,7421.01,4053.12,7063.82,10431.7,15.92,0.11,577,587,transport,Solid balance. Your transport spending seems well managed.
CUST00130,2025-01-31,33,Retail,2178.04,2552.63,4419.01,3248.68,1382.3,203.75,3.64,674,669,groceries,"High debits, especially groceries. Consider budgeting more tightly."
CUST00131,2025-01-31,49,Healthcare,983.97,1125.39,2778.55,4034.64,2381.48,68.23,1.34,729,724,dining,High dining debits. Review spending to improve your balance.
CUST00132,2025-01-31,34,Retail,4522.25,6503.82,3551.16,12052.26,15004.93,234.52,1.28,650,655,healthcare,Impressive balance! Managing healthcare costs effectively benefits you.
CUST00133,2025-01-31,34,Manager,4463.46,5182.76,8581.3,4132.81,734.27,213.89,2.35,633,623,education,"High debits, possibly education. Work on building your balance."
CUST00134,2025-01-31,31,Student,7708.55,13544.5,5672.67,25163.15,33034.98,0.0,-0.59,708,718,transfer,Fantastic savings! Consider investment opportunities for your large balance.
CUST00135,2025-01-31,40,Student,3614.09,4570.64,1885.63,9621.0,12306.01,0.0,-0.73,623,628,utilities,Excellent financial health! Your utility management is commendable.
CUST00136,2025-01-31,37,Manager,3378.95,4238.04,1391.21,11833.77,14680.6,106.96,0.67,736,726,healthcare,Great balance! Continue making smart choices with healthcare.
CUST00137,2025-01-31,44,Manager,3533.58,3583.33,7840.17,5197.15,940.3,0.0,-1.46,694,704,transport,Transport costs are high. Explore ways to reduce expenditure.
CUST00138,2025-01-31,21,Teacher,3220.67,3333.27,2774.57,7927.46,8486.15,112.6,1.01,723,728,shopping,Good balance. Manage shopping to grow your savings further.
CUST00139,2025-01-31,29,Finance,4499.11,5909.45,2322.13,11318.68,14906.0,359.31,2.13,837,827,shopping,Strong financial position! Smart shopping habits are a plus.
CUST00140,2025-01-31,30,Finance,639.69,878.31,950.86,589.45,516.9,26.94,1.87,613,618,entertainment,Low balance. Curtail entertainment spending to recover quickly.
CUST00141,2025-01-31,46,Unemployed,6985.91,10829.4,11397.8,21745.22,21176.82,760.36,2.39,647,657,groceries,"High debits, particularly groceries. Monitor spending closely."
CUST00142,2025-01-31,37,Unemployed,890.27,1171.82,1665.8,1718.38,1224.4,42.99,1.51,586,596,shopping,High shopping debits compared to credits. Review spending.
CUST00143,2025-01-31,50,Manager,5043.7,7337.6,10161.05,3647.7,824.25,0.0,-0.48,539,529,entertainment,Significant entertainment spending. Focus on increasing your balance.
CUST00144,2025-01-31,45,Retail,5602.49,7085.44,3914.5,17808.63,20979.57,158.31,0.64,685,680,shopping,Excellent balance! Your shopping choices are financially savvy.
CUST00145,2025-01-31,30,Engineer,7354.4,7482.86,4004.36,7134.74,10613.24,33.54,0.23,690,695,education,Healthy balance. Education investments are well-supported.
CUST00146,2025-01-31,48,Manager,4605.78,6072.12,5299.02,11063.81,11836.91,0.0,-0.15,704,714,entertainment,Strong balance. Enjoy entertainment responsibly and within budget.
CUST00147,2025-01-31,43,Manager,5289.68,7165.89,4362.52,3067.6,5870.97,0.0,-0.03,764,759,groceries,Good balance. Keep managing groceries effectively for future savings.
CUST00148,2025-01-31,36,Teacher,5845.24,6894.4,11392.02,19792.31,15294.68,188.14,0.71,661,656,shopping,High shopping debits. Review purchases to improve your balance.
CUST00149,2025-01-31,36,Technician,6645.41,10780.94,4563.63,4521.83,10739.14,298.58,1.99,772,767,healthcare,
CUST00150,2025-01-31,30,Unemployed,4478.46,6157.6,3388.65,10843.62,13612.57,264.44,1.58,645,635,healthcare,Excellent balance growth! Your healthcare spending is sustainable.
CUST00151,2025-01-31,18,Unemployed,3630.3,3716.85,1880.45,1912.43,3748.83,0.0,-0.95,716,711,groceries,Monitor your grocery spending to increase savings further.
CUST00152,2025-01-31,50,Manager,4548.0,5190.19,5238.15,5017.78,4969.82,305.01,3.08,678,668,transport,Keep an eye on transport costs to improve your balance.
CUST00153,2025-01-31,49,Engineer,3008.59,3611.35,7858.71,1071.61,-3175.75,0.0,-0.23,609,604,education,High education spending; consider adjusting other expenses next month.
CUST00154,2025-01-31,63,Student,1188.72,1504.7,43920.52224510815,1639.58,1170.08,82.96,2.71,665,670,shopping,"Your shopping expenses are a bit high, review them."
CUST00155,2025-01-31,39,Finance,6277.56,9948.05,8136.26,4252.35,6064.13,373.33,2.7,735,730,shopping,Good credit activity! Maybe reduce shopping to boost savings.
CUST00156,2025-01-31,28,Manager,,2342.88,1197.23,3625.99,4771.64,24.37,0.41,697,707,shopping,Excellent progress! Continue managing your shopping budget well.
CUST00157,2025-01-31,19,Engineer,3833.73,4344.24,8242.99,11980.4,8081.65,24.45,0.15,705,710,shopping,"Your shopping increased significantly, consider a budget review soon."
CUST00158,2025-01-31,42,Manager,7887.17,10132.65,8522.96,30519.75,32129.44,1495.78,3.82,669,659,education,Solid performance! Keep up the great financial management.
CUST00159,2025-01-31,40,Teacher,5149.68,6031.58,5343.33,8892.56,9580.81,318.41,2.18,646,636,entertainment,"Strong month overall, good balance in entertainment spending."
CUST00160,2025-01-31,43,Engineer,5143.93,5829.23,9148.26,16790.87,13471.84,128.2,0.57,667,657,education,"Education spending is high, but your balance remains healthy."
CUST00161,2025-01-31,52,Unemployed,4466.57,4642.47,3741.83,17248.87,18149.51,175.9,0.81,675,685,groceries,Good job managing groceries; strong balance growth observed!
CUST00162,2025-01-31,34,Self-employed,6159.34,9755.37,6673.84,3807.54,6889.07,213.59,1.6,602,607,transport,Consider ways to optimize your transport costs next month.
CUST00163,2025-01-31,36,Teacher,2696.63,3617.78,3105.86,960.37,1472.29,0.0,-0.79,693,703,education,Education expenses are notable; try increasing credits next period.
CUST00164,2025-01-31,39,Self-employed,4361.7,4560.23,6454.19,15685.3,13791.35,50.49,0.25,675,685,education,"Education spending is high, yet your balance is stable."
CUST00165,2025-01-31,33,Engineer,2106.87,2589.32,1864.5,4866.65,5591.47,12.65,0.17,757,767,groceries,Keep up the good work managing your grocery budget.
CUST00166,2025-01-31,50,Engineer,3329.08,4984.69,37379.84920245873,11957.03,15277.03,301.19,1.81,743,748,utilities,"Excellent month for savings, utilities spending is well-managed."
CUST00167,2025-01-31,49,Unemployed,6440.86,,,15541.2,15522.59,343.0,1.52,656,651,entertainment,Debits are close to credits; review entertainment spending carefully.
CUST00168,2025-01-31,36,Student,5998.17,7897.97,6299.4,9654.88,11253.45,206.42,1.19,718,728,groceries,Healthy balance! Your grocery spending seems well-managed.
CUST00169,2025-01-31,38,Technician,3756.62,5188.68,2337.23,2961.94,5813.39,106.19,1.32,726,736,dining,Great month overall. Dining expenses are within a good range.
CUST00170,2025-01-31,41,Technician,3815.47,4749.79,2420.41,13400.06,15729.44,66.91,0.37,621,611,education,Good financial health; education expenses are manageable.
CUST00171,2025-01-31,28,Retail,2209.57,2766.45,4931.73,2519.48,354.21,20.54,0.39,690,700,education,High education expenses. Look for ways to boost income.
CUST00172,2025-01-31,65,Self-employed,4185.33,4185.33,4850.47,13549.27,12884.13,0.0,-0.59,672,667,healthcare,"Healthcare spending is high, but your balance is healthy."
